Audiofile,start,end,class
S01_U04.CH4.wav,0.0,0.253,background
S01_U04.CH4.wav,0.253,2.303,foreground
S01_U04.CH4.wav,2.303,2.543,background
S01_U04.CH4.wav,2.543,5.482,foreground
S01_U04.CH4.wav,5.482,6.033,background
S01_U04.CH4.wav,6.033,6.253,foreground
S01_U04.CH4.wav,6.253,6.493,background
S01_U04.CH4.wav,6.493,21.293,foreground
S01_U04.CH4.wav,21.293,21.683,background
S01_U04.CH4.wav,21.683,22.523,foreground
S01_U04.CH4.wav,22.523,22.922,background
S01_U04.CH4.wav,22.922,23.172,foreground
S01_U04.CH4.wav,23.172,23.622,background
S01_U04.CH4.wav,23.622,23.832,foreground
S01_U04.CH4.wav,23.832,24.302,background
S01_U04.CH4.wav,24.302,24.602,foreground
S01_U04.CH4.wav,24.602,24.703,background
S01_U04.CH4.wav,24.703,24.823,foreground
S01_U04.CH4.wav,24.823,25.402,background
S01_U04.CH4.wav,25.402,25.482,foreground
S01_U04.CH4.wav,25.482,25.523,background
S01_U04.CH4.wav,25.523,26.262,foreground
S01_U04.CH4.wav,26.262,26.753,background
S01_U04.CH4.wav,26.753,28.223,foreground
S01_U04.CH4.wav,28.223,28.712,background
S01_U04.CH4.wav,28.712,29.073,foreground
S01_U04.CH4.wav,29.073,29.762,background
S01_U04.CH4.wav,29.762,30.712,foreground
S01_U04.CH4.wav,30.712,31.052,background
S01_U04.CH4.wav,31.052,32.243,foreground
S01_U04.CH4.wav,32.243,32.363,background
S01_U04.CH4.wav,32.363,32.383,foreground
S01_U04.CH4.wav,32.383,32.593,background
S01_U04.CH4.wav,32.593,34.503,foreground
S01_U04.CH4.wav,34.503,34.783,background
S01_U04.CH4.wav,34.783,36.493,foreground
S01_U04.CH4.wav,36.493,36.583,background
S01_U04.CH4.wav,36.583,37.963,foreground
S01_U04.CH4.wav,37.963,38.213,background
S01_U04.CH4.wav,38.213,40.483,foreground
S01_U04.CH4.wav,40.483,40.973,background
S01_U04.CH4.wav,40.973,41.063,foreground
S01_U04.CH4.wav,41.063,41.303,background
S01_U04.CH4.wav,41.303,41.383,foreground
S01_U04.CH4.wav,41.383,42.063,background
S01_U04.CH4.wav,42.063,44.313,foreground
S01_U04.CH4.wav,44.313,44.333,background
S01_U04.CH4.wav,44.333,44.353,foreground
S01_U04.CH4.wav,44.353,44.853,background
S01_U04.CH4.wav,44.853,47.713,foreground
S01_U04.CH4.wav,47.713,48.403,background
S01_U04.CH4.wav,48.403,55.133,foreground
S01_U04.CH4.wav,55.133,55.143,background
S01_U04.CH4.wav,55.143,55.223,foreground
S01_U04.CH4.wav,55.223,55.863,background
S01_U04.CH4.wav,55.863,55.953,foreground
S01_U04.CH4.wav,55.953,55.963,background
S01_U04.CH4.wav,55.963,56.073,foreground
S01_U04.CH4.wav,56.073,58.003,background
S01_U04.CH4.wav,58.003,58.023,foreground
S01_U04.CH4.wav,58.023,58.053,background
S01_U04.CH4.wav,58.053,58.463,foreground
S01_U04.CH4.wav,58.463,61.133,background
S01_U04.CH4.wav,61.133,62.193,foreground
S01_U04.CH4.wav,62.193,62.303,background
S01_U04.CH4.wav,62.303,63.753,foreground
S01_U04.CH4.wav,63.753,64.123,background
S01_U04.CH4.wav,64.123,65.112,foreground
S01_U04.CH4.wav,65.112,65.213,background
S01_U04.CH4.wav,65.213,73.053,foreground
S01_U04.CH4.wav,73.053,73.703,background
S01_U04.CH4.wav,73.703,75.473,foreground
S01_U04.CH4.wav,75.473,76.403,background
S01_U04.CH4.wav,76.403,76.782,foreground
S01_U04.CH4.wav,76.782,77.392,background
S01_U04.CH4.wav,77.392,77.953,foreground
S01_U04.CH4.wav,77.953,78.463,background
S01_U04.CH4.wav,78.463,79.473,foreground
S01_U04.CH4.wav,79.473,80.523,background
S01_U04.CH4.wav,80.523,81.043,foreground
S01_U04.CH4.wav,81.043,81.443,background
S01_U04.CH4.wav,81.443,83.803,foreground
S01_U04.CH4.wav,83.803,85.653,background
S01_U04.CH4.wav,85.653,86.163,foreground
S01_U04.CH4.wav,86.163,86.913,background
S01_U04.CH4.wav,86.913,87.953,foreground
S01_U04.CH4.wav,87.953,91.583,background
S01_U04.CH4.wav,91.583,92.053,foreground
S01_U04.CH4.wav,92.053,92.623,background
S01_U04.CH4.wav,92.623,93.543,foreground
S01_U04.CH4.wav,93.543,94.142,background
S01_U04.CH4.wav,94.142,95.113,foreground
S01_U04.CH4.wav,95.113,100.483,background
S01_U04.CH4.wav,100.483,100.523,foreground
S01_U04.CH4.wav,100.523,101.973,background
S01_U04.CH4.wav,101.973,102.213,foreground
S01_U04.CH4.wav,102.213,102.223,background
S01_U04.CH4.wav,102.223,102.413,foreground
S01_U04.CH4.wav,102.413,102.543,background
S01_U04.CH4.wav,102.543,102.843,foreground
S01_U04.CH4.wav,102.843,102.853,background
S01_U04.CH4.wav,102.853,102.883,foreground
S01_U04.CH4.wav,102.883,103.453,background
S01_U04.CH4.wav,103.453,103.532,foreground
S01_U04.CH4.wav,103.532,104.093,background
S01_U04.CH4.wav,104.093,104.303,foreground
S01_U04.CH4.wav,104.303,104.562,background
S01_U04.CH4.wav,104.562,104.642,foreground
S01_U04.CH4.wav,104.642,105.453,background
S01_U04.CH4.wav,105.453,105.503,foreground
S01_U04.CH4.wav,105.503,106.043,background
S01_U04.CH4.wav,106.043,106.543,foreground
S01_U04.CH4.wav,106.543,106.562,background
S01_U04.CH4.wav,106.562,106.583,foreground
S01_U04.CH4.wav,106.583,109.312,background
S01_U04.CH4.wav,109.312,109.323,foreground
S01_U04.CH4.wav,109.323,109.333,background
S01_U04.CH4.wav,109.333,109.683,foreground
S01_U04.CH4.wav,109.683,110.553,background
S01_U04.CH4.wav,110.553,111.073,foreground
S01_U04.CH4.wav,111.073,112.203,background
