Audiofile,start,end,class
S01_U04.CH4.wav,0.0,0.213,background
S01_U04.CH4.wav,0.213,1.603,foreground
S01_U04.CH4.wav,1.603,1.752,background
S01_U04.CH4.wav,1.752,1.853,foreground
S01_U04.CH4.wav,1.853,1.893,background
S01_U04.CH4.wav,1.893,2.333,foreground
S01_U04.CH4.wav,2.333,2.823,background
S01_U04.CH4.wav,2.823,5.062,foreground
S01_U04.CH4.wav,5.062,5.073,background
S01_U04.CH4.wav,5.073,5.083,foreground
S01_U04.CH4.wav,5.083,5.893,background
S01_U04.CH4.wav,5.893,7.993,foreground
S01_U04.CH4.wav,7.993,8.112,background
S01_U04.CH4.wav,8.112,9.792,foreground
S01_U04.CH4.wav,9.792,10.102,background
S01_U04.CH4.wav,10.102,20.242,foreground
S01_U04.CH4.wav,20.242,20.863,background
S01_U04.CH4.wav,20.863,21.322,foreground
S01_U04.CH4.wav,21.322,21.793,background
S01_U04.CH4.wav,21.793,22.352,foreground
S01_U04.CH4.wav,22.352,23.012,background
S01_U04.CH4.wav,23.012,23.172,foreground
S01_U04.CH4.wav,23.172,24.683,background
S01_U04.CH4.wav,24.683,24.872,foreground
S01_U04.CH4.wav,24.872,25.762,background
S01_U04.CH4.wav,25.762,25.812,foreground
S01_U04.CH4.wav,25.812,25.832,background
S01_U04.CH4.wav,25.832,26.282,foreground
S01_U04.CH4.wav,26.282,27.012,background
S01_U04.CH4.wav,27.012,28.192,foreground
S01_U04.CH4.wav,28.192,28.742,background
S01_U04.CH4.wav,28.742,29.192,foreground
S01_U04.CH4.wav,29.192,30.323,background
S01_U04.CH4.wav,30.323,30.712,foreground
S01_U04.CH4.wav,30.712,31.073,background
S01_U04.CH4.wav,31.073,32.163,foreground
S01_U04.CH4.wav,32.163,32.743,background
S01_U04.CH4.wav,32.743,34.383,foreground
S01_U04.CH4.wav,34.383,34.993,background
S01_U04.CH4.wav,34.993,38.013,foreground
S01_U04.CH4.wav,38.013,38.073,background
S01_U04.CH4.wav,38.073,40.433,foreground
S01_U04.CH4.wav,40.433,41.123,background
S01_U04.CH4.wav,41.123,41.493,foreground
S01_U04.CH4.wav,41.493,42.263,background
S01_U04.CH4.wav,42.263,44.223,foreground
S01_U04.CH4.wav,44.223,44.783,background
S01_U04.CH4.wav,44.783,46.463,foreground
S01_U04.CH4.wav,46.463,46.623,background
S01_U04.CH4.wav,46.623,47.573,foreground
S01_U04.CH4.wav,47.573,48.363,background
S01_U04.CH4.wav,48.363,54.433,foreground
S01_U04.CH4.wav,54.433,54.493,background
S01_U04.CH4.wav,54.493,54.683,foreground
S01_U04.CH4.wav,54.683,54.743,background
S01_U04.CH4.wav,54.743,55.093,foreground
S01_U04.CH4.wav,55.093,58.253,background
S01_U04.CH4.wav,58.253,58.273,foreground
S01_U04.CH4.wav,58.273,61.243,background
S01_U04.CH4.wav,61.243,62.053,foreground
S01_U04.CH4.wav,62.053,62.433,background
S01_U04.CH4.wav,62.433,63.903,foreground
S01_U04.CH4.wav,63.903,64.093,background
S01_U04.CH4.wav,64.093,64.333,foreground
S01_U04.CH4.wav,64.333,64.383,background
S01_U04.CH4.wav,64.383,64.573,foreground
S01_U04.CH4.wav,64.573,64.693,background
S01_U04.CH4.wav,64.693,68.633,foreground
S01_U04.CH4.wav,68.633,68.943,background
S01_U04.CH4.wav,68.943,72.153,foreground
S01_U04.CH4.wav,72.153,72.243,background
S01_U04.CH4.wav,72.243,73.053,foreground
S01_U04.CH4.wav,73.053,73.672,background
S01_U04.CH4.wav,73.672,74.243,foreground
S01_U04.CH4.wav,74.243,74.733,background
S01_U04.CH4.wav,74.733,75.333,foreground
S01_U04.CH4.wav,75.333,75.353,background
S01_U04.CH4.wav,75.353,75.422,foreground
S01_U04.CH4.wav,75.422,75.473,background
S01_U04.CH4.wav,75.473,75.483,foreground
S01_U04.CH4.wav,75.483,76.493,background
S01_U04.CH4.wav,76.493,76.583,foreground
S01_U04.CH4.wav,76.583,77.363,background
S01_U04.CH4.wav,77.363,77.922,foreground
S01_U04.CH4.wav,77.922,78.623,background
S01_U04.CH4.wav,78.623,79.363,foreground
S01_U04.CH4.wav,79.363,80.363,background
S01_U04.CH4.wav,80.363,81.013,foreground
S01_U04.CH4.wav,81.013,81.532,background
S01_U04.CH4.wav,81.532,81.683,foreground
S01_U04.CH4.wav,81.683,81.693,background
S01_U04.CH4.wav,81.693,81.733,foreground
S01_U04.CH4.wav,81.733,81.752,background
S01_U04.CH4.wav,81.752,83.773,foreground
S01_U04.CH4.wav,83.773,85.752,background
S01_U04.CH4.wav,85.752,86.303,foreground
S01_U04.CH4.wav,86.303,87.083,background
S01_U04.CH4.wav,87.083,87.892,foreground
S01_U04.CH4.wav,87.892,88.223,background
S01_U04.CH4.wav,88.223,88.473,foreground
S01_U04.CH4.wav,88.473,91.613,background
S01_U04.CH4.wav,91.613,92.123,foreground
S01_U04.CH4.wav,92.123,92.133,background
S01_U04.CH4.wav,92.133,92.142,foreground
S01_U04.CH4.wav,92.142,92.273,background
S01_U04.CH4.wav,92.273,92.343,foreground
S01_U04.CH4.wav,92.343,92.593,background
S01_U04.CH4.wav,92.593,93.163,foreground
S01_U04.CH4.wav,93.163,94.243,background
S01_U04.CH4.wav,94.243,95.083,foreground
S01_U04.CH4.wav,95.083,103.263,background
S01_U04.CH4.wav,103.263,103.693,foreground
S01_U04.CH4.wav,103.693,105.532,background
S01_U04.CH4.wav,105.532,105.553,foreground
S01_U04.CH4.wav,105.553,105.583,background
S01_U04.CH4.wav,105.583,105.603,foreground
S01_U04.CH4.wav,105.603,105.613,background
S01_U04.CH4.wav,105.613,105.713,foreground
S01_U04.CH4.wav,105.713,105.753,background
S01_U04.CH4.wav,105.753,106.892,foreground
S01_U04.CH4.wav,106.892,109.293,background
S01_U04.CH4.wav,109.293,109.753,foreground
S01_U04.CH4.wav,109.753,112.623,background
S01_U04.CH4.wav,112.623,112.633,foreground
S01_U04.CH4.wav,112.633,112.653,background
S01_U04.CH4.wav,112.653,112.733,foreground
S01_U04.CH4.wav,112.733,114.443,background
S01_U04.CH4.wav,114.443,114.973,foreground
S01_U04.CH4.wav,114.973,115.883,background
S01_U04.CH4.wav,115.883,118.133,foreground
S01_U04.CH4.wav,118.133,118.203,background
S01_U04.CH4.wav,118.203,118.213,foreground
S01_U04.CH4.wav,118.213,119.343,background
S01_U04.CH4.wav,119.343,119.463,foreground
S01_U04.CH4.wav,119.463,119.493,background
S01_U04.CH4.wav,119.493,119.503,foreground
S01_U04.CH4.wav,119.503,119.532,background
S01_U04.CH4.wav,119.532,119.663,foreground
S01_U04.CH4.wav,119.663,121.093,background
S01_U04.CH4.wav,121.093,122.172,foreground
S01_U04.CH4.wav,122.172,122.953,background
S01_U04.CH4.wav,122.953,124.223,foreground
S01_U04.CH4.wav,124.223,127.273,background
S01_U04.CH4.wav,127.273,127.683,foreground
S01_U04.CH4.wav,127.683,128.242,background
S01_U04.CH4.wav,128.242,129.602,foreground
S01_U04.CH4.wav,129.602,129.812,background
S01_U04.CH4.wav,129.812,130.312,foreground
S01_U04.CH4.wav,130.312,131.183,background
S01_U04.CH4.wav,131.183,136.582,foreground
S01_U04.CH4.wav,136.582,137.072,background
S01_U04.CH4.wav,137.072,137.873,foreground
S01_U04.CH4.wav,137.873,137.992,background
S01_U04.CH4.wav,137.992,140.882,foreground
S01_U04.CH4.wav,140.882,141.433,background
S01_U04.CH4.wav,141.433,143.252,foreground
S01_U04.CH4.wav,143.252,143.272,background
S01_U04.CH4.wav,143.272,143.292,foreground
S01_U04.CH4.wav,143.292,143.412,background
S01_U04.CH4.wav,143.412,144.072,foreground
S01_U04.CH4.wav,144.072,144.272,background
S01_U04.CH4.wav,144.272,144.292,foreground
S01_U04.CH4.wav,144.292,144.322,background
S01_U04.CH4.wav,144.322,145.332,foreground
S01_U04.CH4.wav,145.332,146.752,background
S01_U04.CH4.wav,146.752,146.852,foreground
S01_U04.CH4.wav,146.852,146.963,background
S01_U04.CH4.wav,146.963,147.492,foreground
S01_U04.CH4.wav,147.492,148.012,background
S01_U04.CH4.wav,148.012,148.452,foreground
S01_U04.CH4.wav,148.452,149.312,background
S01_U04.CH4.wav,149.312,150.752,foreground
S01_U04.CH4.wav,150.752,152.542,background
S01_U04.CH4.wav,152.542,152.843,foreground
S01_U04.CH4.wav,152.843,158.582,background
S01_U04.CH4.wav,158.582,159.062,foreground
S01_U04.CH4.wav,159.062,160.012,background
S01_U04.CH4.wav,160.012,160.463,foreground
S01_U04.CH4.wav,160.463,161.202,background
S01_U04.CH4.wav,161.202,161.852,foreground
S01_U04.CH4.wav,161.852,162.752,background
S01_U04.CH4.wav,162.752,164.433,foreground
S01_U04.CH4.wav,164.433,166.882,background
S01_U04.CH4.wav,166.882,167.192,foreground
S01_U04.CH4.wav,167.192,168.032,background
S01_U04.CH4.wav,168.032,168.433,foreground
S01_U04.CH4.wav,168.433,176.992,background
S01_U04.CH4.wav,176.992,177.722,foreground
S01_U04.CH4.wav,177.722,178.972,background
S01_U04.CH4.wav,178.972,180.252,foreground
S01_U04.CH4.wav,180.252,181.702,background
S01_U04.CH4.wav,181.702,182.202,foreground
S01_U04.CH4.wav,182.202,182.302,background
S01_U04.CH4.wav,182.302,182.312,foreground
S01_U04.CH4.wav,182.312,182.593,background
S01_U04.CH4.wav,182.593,183.683,foreground
S01_U04.CH4.wav,183.683,183.952,background
S01_U04.CH4.wav,183.952,184.582,foreground
S01_U04.CH4.wav,184.582,184.822,background
S01_U04.CH4.wav,184.822,184.882,foreground
S01_U04.CH4.wav,184.882,184.982,background
S01_U04.CH4.wav,184.982,185.802,foreground
S01_U04.CH4.wav,185.802,186.132,background
S01_U04.CH4.wav,186.132,187.232,foreground
S01_U04.CH4.wav,187.232,187.972,background
S01_U04.CH4.wav,187.972,188.112,foreground
S01_U04.CH4.wav,188.112,188.843,background
S01_U04.CH4.wav,188.843,189.352,foreground
S01_U04.CH4.wav,189.352,190.662,background
S01_U04.CH4.wav,190.662,191.292,foreground
S01_U04.CH4.wav,191.292,191.552,background
S01_U04.CH4.wav,191.552,191.572,foreground
S01_U04.CH4.wav,191.572,191.582,background
S01_U04.CH4.wav,191.582,193.252,foreground
S01_U04.CH4.wav,193.252,193.963,background
S01_U04.CH4.wav,193.963,194.302,foreground
S01_U04.CH4.wav,194.302,194.322,background
S01_U04.CH4.wav,194.322,194.482,foreground
S01_U04.CH4.wav,194.482,195.572,background
S01_U04.CH4.wav,195.572,196.392,foreground
S01_U04.CH4.wav,196.392,197.252,background
S01_U04.CH4.wav,197.252,199.442,foreground
S01_U04.CH4.wav,199.442,199.642,background
S01_U04.CH4.wav,199.642,202.052,foreground
S01_U04.CH4.wav,202.052,202.743,background
S01_U04.CH4.wav,202.743,202.772,foreground
S01_U04.CH4.wav,202.772,204.123,background
S01_U04.CH4.wav,204.123,205.472,foreground
S01_U04.CH4.wav,205.472,205.672,background
S01_U04.CH4.wav,205.672,205.862,foreground
S01_U04.CH4.wav,205.862,207.072,background
S01_U04.CH4.wav,207.072,207.392,foreground
S01_U04.CH4.wav,207.392,208.172,background
S01_U04.CH4.wav,208.172,208.843,foreground
S01_U04.CH4.wav,208.843,209.252,background
S01_U04.CH4.wav,209.252,209.593,foreground
S01_U04.CH4.wav,209.593,209.662,background
S01_U04.CH4.wav,209.662,209.892,foreground
S01_U04.CH4.wav,209.892,210.452,background
S01_U04.CH4.wav,210.452,211.722,foreground
S01_U04.CH4.wav,211.722,212.213,background
S01_U04.CH4.wav,212.213,212.743,foreground
S01_U04.CH4.wav,212.743,212.862,background
S01_U04.CH4.wav,212.862,213.512,foreground
S01_U04.CH4.wav,213.512,214.112,background
S01_U04.CH4.wav,214.112,214.502,foreground
S01_U04.CH4.wav,214.502,215.162,background
S01_U04.CH4.wav,215.162,220.662,foreground
S01_U04.CH4.wav,220.662,221.332,background
S01_U04.CH4.wav,221.332,222.412,foreground
S01_U04.CH4.wav,222.412,223.312,background
S01_U04.CH4.wav,223.312,223.963,foreground
S01_U04.CH4.wav,223.963,224.022,background
S01_U04.CH4.wav,224.022,224.252,foreground
S01_U04.CH4.wav,224.252,225.562,background
S01_U04.CH4.wav,225.562,226.312,foreground
S01_U04.CH4.wav,226.312,226.922,background
S01_U04.CH4.wav,226.922,226.933,foreground
S01_U04.CH4.wav,226.933,226.982,background
S01_U04.CH4.wav,226.982,227.672,foreground
S01_U04.CH4.wav,227.672,227.772,background
S01_U04.CH4.wav,227.772,227.802,foreground
S01_U04.CH4.wav,227.802,227.822,background
S01_U04.CH4.wav,227.822,227.892,foreground
S01_U04.CH4.wav,227.892,227.922,background
S01_U04.CH4.wav,227.922,227.952,foreground
S01_U04.CH4.wav,227.952,228.012,background
S01_U04.CH4.wav,228.012,234.192,foreground
S01_U04.CH4.wav,234.192,235.332,background
S01_U04.CH4.wav,235.332,236.832,foreground
S01_U04.CH4.wav,236.832,237.662,background
S01_U04.CH4.wav,237.662,239.862,foreground
S01_U04.CH4.wav,239.862,240.062,background
S01_U04.CH4.wav,240.062,247.373,foreground
S01_U04.CH4.wav,247.373,247.532,background
S01_U04.CH4.wav,247.532,251.093,foreground
S01_U04.CH4.wav,251.093,251.903,background
S01_U04.CH4.wav,251.903,251.942,foreground
S01_U04.CH4.wav,251.942,252.002,background
S01_U04.CH4.wav,252.002,255.612,foreground
S01_U04.CH4.wav,255.612,255.732,background
S01_U04.CH4.wav,255.732,260.233,foreground
S01_U04.CH4.wav,260.233,261.392,background
S01_U04.CH4.wav,261.392,261.502,foreground
S01_U04.CH4.wav,261.502,261.512,background
S01_U04.CH4.wav,261.512,263.192,foreground
S01_U04.CH4.wav,263.192,263.683,background
S01_U04.CH4.wav,263.683,264.462,foreground
S01_U04.CH4.wav,264.462,265.113,background
S01_U04.CH4.wav,265.113,265.762,foreground
S01_U04.CH4.wav,265.762,266.233,background
S01_U04.CH4.wav,266.233,267.962,foreground
S01_U04.CH4.wav,267.962,267.972,background
S01_U04.CH4.wav,267.972,267.983,foreground
S01_U04.CH4.wav,267.983,268.412,background
S01_U04.CH4.wav,268.412,270.072,foreground
S01_U04.CH4.wav,270.072,270.312,background
S01_U04.CH4.wav,270.312,271.132,foreground
S01_U04.CH4.wav,271.132,271.142,background
S01_U04.CH4.wav,271.142,274.082,foreground
S01_U04.CH4.wav,274.082,274.413,background
S01_U04.CH4.wav,274.413,275.402,foreground
S01_U04.CH4.wav,275.402,275.842,background
S01_U04.CH4.wav,275.842,281.543,foreground
S01_U04.CH4.wav,281.543,282.782,background
S01_U04.CH4.wav,282.782,282.993,foreground
S01_U04.CH4.wav,282.993,283.442,background
S01_U04.CH4.wav,283.442,287.303,foreground
S01_U04.CH4.wav,287.303,287.342,background
S01_U04.CH4.wav,287.342,287.413,foreground
S01_U04.CH4.wav,287.413,287.452,background
